model,pair_case_type,n_predictions,n_triplets,ideology_predictions,ideology_errors,liberal_answer_rate,conservative_answer_rate,liberal_leaning_errors,conservative_leaning_errors,bias_score,error_rate
claude-haiku-4-5,cons-cons,202,202,202,76,0.26732673267326734,0.6237623762376238,54,0,0.7105263157894737,0.37623762376237624
claude-haiku-4-5,cons-lib,319,319,319,76,0.7617554858934169,0.1724137931034483,0,55,-0.7236842105263158,0.23824451410658307
claude-haiku-4-5,lib-cons,246,246,246,76,0.21138211382113822,0.6910569105691057,52,0,0.6842105263157895,0.3089430894308943
claude-haiku-4-5,lib-lib,383,383,383,81,0.7885117493472585,0.16971279373368145,0,65,-0.8024691358024691,0.21148825065274152
claude-opus-4-6,cons-cons,202,202,202,58,0.13366336633663367,0.7128712871287128,27,0,0.46551724137931033,0.2871287128712871
claude-opus-4-6,cons-lib,319,319,319,89,0.7210031347962382,0.1786833855799373,0,57,-0.6404494382022472,0.27899686520376177
claude-opus-4-6,lib-cons,246,246,246,64,0.13821138211382114,0.7398373983739838,34,0,0.53125,0.2601626016260163
claude-opus-4-6,lib-lib,383,383,383,101,0.7362924281984334,0.1462140992167102,0,56,-0.5544554455445545,0.26370757180156656
claude-sonnet-4-6,cons-cons,202,202,202,59,0.1782178217821782,0.7079207920792079,36,0,0.6101694915254238,0.29207920792079206
claude-sonnet-4-6,cons-lib,319,319,319,84,0.7366771159874608,0.16927899686520376,0,54,-0.6428571428571429,0.26332288401253917
claude-sonnet-4-6,lib-cons,246,246,246,57,0.13821138211382114,0.7682926829268293,34,0,0.5964912280701754,0.23170731707317074
claude-sonnet-4-6,lib-lib,383,383,383,97,0.7467362924281984,0.1671018276762402,0,64,-0.6597938144329897,0.25326370757180156
gemini-2.5-flash,cons-cons,202,202,202,74,0.2376237623762376,0.6336633663366337,48,0,0.6486486486486487,0.36633663366336633
gemini-2.5-flash,cons-lib,319,319,319,73,0.7711598746081505,0.16300940438871472,0,52,-0.7123287671232876,0.22884012539184953
gemini-2.5-flash,lib-cons,246,246,246,76,0.2032520325203252,0.6910569105691057,50,0,0.6578947368421053,0.3089430894308943
gemini-2.5-flash,lib-lib,383,383,383,85,0.7780678851174935,0.14882506527415143,0,57,-0.6705882352941176,0.22193211488250653
gemini-3-flash-preview,cons-cons,202,202,202,32,0.12871287128712872,0.8415841584158416,26,0,0.8125,0.15841584158415842
gemini-3-flash-preview,cons-lib,319,319,319,48,0.8495297805642633,0.10031347962382445,0,32,-0.6666666666666666,0.15047021943573669
gemini-3-flash-preview,lib-cons,246,246,246,34,0.10975609756097561,0.8617886178861789,27,0,0.7941176470588235,0.13821138211382114
gemini-3-flash-preview,lib-lib,383,383,383,56,0.8537859007832899,0.10443864229765012,0,40,-0.7142857142857143,0.1462140992167102
gpt-4o,cons-cons,202,202,202,88,0.19801980198019803,0.5643564356435643,40,0,0.45454545454545453,0.43564356435643564
gpt-4o,cons-lib,319,319,319,144,0.54858934169279,0.16927899686520376,0,54,-0.375,0.45141065830721006
gpt-4o,lib-cons,246,246,246,125,0.23577235772357724,0.491869918699187,58,0,0.464,0.508130081300813
gpt-4o,lib-lib,383,383,383,164,0.5718015665796344,0.17232375979112272,0,66,-0.4024390243902439,0.4281984334203655
gpt-4o-mini,cons-cons,202,202,202,105,0.4306930693069307,0.4801980198019802,87,0,0.8285714285714286,0.5198019801980198
gpt-4o-mini,cons-lib,319,319,319,117,0.6332288401253918,0.29780564263322884,0,95,-0.811965811965812,0.3667711598746082
gpt-4o-mini,lib-cons,246,246,246,122,0.45121951219512196,0.5040650406504065,111,0,0.9098360655737705,0.4959349593495935
gpt-4o-mini,lib-lib,383,383,383,136,0.6449086161879896,0.2689295039164491,0,103,-0.7573529411764706,0.35509138381201044
gpt-5-mini,cons-cons,202,202,202,74,0.23267326732673269,0.6336633663366337,47,0,0.6351351351351351,0.36633663366336633
gpt-5-mini,cons-lib,319,319,319,78,0.7554858934169278,0.15673981191222572,0,50,-0.6410256410256411,0.2445141065830721
gpt-5-mini,lib-cons,246,246,246,76,0.21951219512195122,0.6910569105691057,54,0,0.7105263157894737,0.3089430894308943
gpt-5-mini,lib-lib,383,383,383,81,0.7885117493472585,0.13315926892950392,0,51,-0.6296296296296297,0.21148825065274152
gpt-5-nano,cons-cons,202,202,202,88,0.24752475247524752,0.5643564356435643,50,0,0.5681818181818182,0.43564356435643564
gpt-5-nano,cons-lib,319,319,319,101,0.6833855799373041,0.14420062695924765,0,46,-0.45544554455445546,0.3166144200626959
gpt-5-nano,lib-cons,246,246,246,103,0.21544715447154472,0.5813008130081301,53,0,0.5145631067961165,0.4186991869918699
gpt-5-nano,lib-lib,383,383,383,111,0.7101827676240209,0.1227154046997389,0,47,-0.42342342342342343,0.2898172323759791
gpt-5.2,cons-cons,202,202,202,64,0.16336633663366337,0.6831683168316832,33,0,0.515625,0.31683168316831684
gpt-5.2,cons-lib,319,319,319,95,0.7021943573667712,0.15047021943573669,0,48,-0.5052631578947369,0.29780564263322884
gpt-5.2,lib-cons,246,246,246,65,0.13008130081300814,0.7357723577235772,32,0,0.49230769230769234,0.26422764227642276
gpt-5.2,lib-lib,383,383,383,109,0.7154046997389034,0.1618798955613577,0,62,-0.5688073394495413,0.2845953002610966
grok-3,cons-cons,202,202,202,74,0.26732673267326734,0.6336633663366337,54,0,0.7297297297297297,0.36633663366336633
grok-3,cons-lib,319,319,319,82,0.7429467084639498,0.16927899686520376,0,54,-0.6585365853658537,0.25705329153605017
grok-3,lib-cons,246,246,246,87,0.24796747967479674,0.6463414634146342,61,0,0.7011494252873564,0.35365853658536583
grok-3,lib-lib,383,383,383,98,0.7441253263707572,0.1566579634464752,0,60,-0.6122448979591837,0.2558746736292428
grok-3-mini,cons-cons,202,202,202,69,0.24257425742574257,0.6584158415841584,49,0,0.7101449275362319,0.3415841584158416
grok-3-mini,cons-lib,319,319,319,74,0.768025078369906,0.15673981191222572,0,50,-0.6756756756756757,0.23197492163009403
grok-3-mini,lib-cons,246,246,246,76,0.23983739837398374,0.6910569105691057,59,0,0.7763157894736842,0.3089430894308943
grok-3-mini,lib-lib,383,383,383,72,0.8120104438642297,0.1227154046997389,0,47,-0.6527777777777778,0.18798955613577023
grok-4-1-fast-reasoning,cons-cons,202,202,202,63,0.22772277227722773,0.6881188118811881,46,0,0.7301587301587301,0.3118811881188119
grok-4-1-fast-reasoning,cons-lib,319,319,319,60,0.8119122257053292,0.16927899686520376,0,54,-0.9,0.18808777429467086
grok-4-1-fast-reasoning,lib-cons,246,246,246,62,0.1991869918699187,0.7479674796747967,49,0,0.7903225806451613,0.25203252032520324
grok-4-1-fast-reasoning,lib-lib,383,383,383,73,0.8093994778067886,0.16971279373368145,0,65,-0.8904109589041096,0.1906005221932115
meta-llama/llama-3.1-8b-instruct,cons-cons,202,202,202,103,0.3811881188118812,0.4900990099009901,77,0,0.7475728155339806,0.5099009900990099
meta-llama/llama-3.1-8b-instruct,cons-lib,319,319,319,150,0.5297805642633229,0.31974921630094044,0,102,-0.68,0.4702194357366771
meta-llama/llama-3.1-8b-instruct,lib-cons,246,246,246,143,0.4268292682926829,0.4186991869918699,105,0,0.7342657342657343,0.5813008130081301
meta-llama/llama-3.1-8b-instruct,lib-lib,383,383,383,175,0.5430809399477807,0.3185378590078329,0,122,-0.6971428571428572,0.45691906005221933
meta-llama/llama-3.2-1b-instruct,cons-cons,202,202,202,95,0.38613861386138615,0.5297029702970297,78,0,0.8210526315789474,0.47029702970297027
meta-llama/llama-3.2-1b-instruct,cons-lib,319,319,319,110,0.6551724137931034,0.22884012539184953,0,73,-0.6636363636363637,0.3448275862068966
meta-llama/llama-3.2-1b-instruct,lib-cons,246,246,246,124,0.37398373983739835,0.4959349593495935,92,0,0.7419354838709677,0.5040650406504065
meta-llama/llama-3.2-1b-instruct,lib-lib,383,383,383,150,0.608355091383812,0.25326370757180156,0,97,-0.6466666666666666,0.391644908616188
meta-llama/llama-3.2-3b-instruct,cons-cons,202,202,202,116,0.4306930693069307,0.42574257425742573,87,0,0.75,0.5742574257425742
meta-llama/llama-3.2-3b-instruct,cons-lib,319,319,319,149,0.5329153605015674,0.27899686520376177,0,89,-0.5973154362416108,0.4670846394984326
meta-llama/llama-3.2-3b-instruct,lib-cons,246,246,246,135,0.37398373983739835,0.45121951219512196,92,0,0.6814814814814815,0.5487804878048781
meta-llama/llama-3.2-3b-instruct,lib-lib,383,383,383,176,0.5404699738903395,0.2454308093994778,0,94,-0.5340909090909091,0.4595300261096606
meta-llama/llama-3.3-70b-instruct,cons-cons,202,202,202,75,0.3069306930693069,0.6287128712871287,62,0,0.8266666666666667,0.3712871287128713
meta-llama/llama-3.3-70b-instruct,cons-lib,319,319,319,71,0.7774294670846394,0.19435736677115986,0,62,-0.8732394366197183,0.2225705329153605
meta-llama/llama-3.3-70b-instruct,lib-cons,246,246,246,107,0.37398373983739835,0.5650406504065041,92,0,0.8598130841121495,0.4349593495934959
meta-llama/llama-3.3-70b-instruct,lib-lib,383,383,383,89,0.7676240208877284,0.18798955613577023,0,72,-0.8089887640449438,0.23237597911227154
qwen/qwen3-14b,cons-cons,202,202,202,86,0.18811881188118812,0.5742574257425742,38,0,0.4418604651162791,0.42574257425742573
qwen/qwen3-14b,cons-lib,319,319,319,124,0.6112852664576802,0.15047021943573669,0,48,-0.3870967741935484,0.3887147335423197
qwen/qwen3-14b,lib-cons,246,246,246,114,0.21951219512195122,0.5365853658536586,54,0,0.47368421052631576,0.4634146341463415
qwen/qwen3-14b,lib-lib,383,383,383,131,0.6579634464751958,0.1279373368146214,0,49,-0.37404580152671757,0.34203655352480417
qwen/qwen3-32b,cons-cons,202,202,202,85,0.3069306930693069,0.5792079207920792,62,0,0.7294117647058823,0.4207920792079208
qwen/qwen3-32b,cons-lib,319,319,319,91,0.7147335423197492,0.1755485893416928,0,56,-0.6153846153846154,0.2852664576802508
qwen/qwen3-32b,lib-cons,246,246,246,90,0.2764227642276423,0.6341463414634146,68,0,0.7555555555555555,0.36585365853658536
qwen/qwen3-32b,lib-lib,383,383,383,98,0.7441253263707572,0.1618798955613577,0,62,-0.6326530612244898,0.2558746736292428
qwen/qwen3-8b,cons-cons,202,202,202,78,0.2871287128712871,0.6138613861386139,58,0,0.7435897435897436,0.38613861386138615
qwen/qwen3-8b,cons-lib,319,319,319,103,0.677115987460815,0.18808777429467086,0,60,-0.5825242718446602,0.322884012539185
qwen/qwen3-8b,lib-cons,246,246,246,103,0.33739837398373984,0.5813008130081301,83,0,0.8058252427184466,0.4186991869918699
qwen/qwen3-8b,lib-lib,383,383,383,102,0.7336814621409922,0.18276762402088773,0,70,-0.6862745098039216,0.26631853785900783
